of,tren,sku,fecha_fin,oee,disponibilidad,rendimiento,ineficiencia,familia,marca,cerveza,envase,tipo_envase,cambios,mat_precio,par_tot,pnp,limpieza,idle,h_tot,hl,uds,maintenance_flag,tipo_cambio,ch_brand,ch_envase,ch_volume,ch_palet,ch_product,ch_cap,ch_primary,ch_secondary,par_tot_min,pnp_min,limpieza_min,idle_min
0000652785-1,14.0,3BNAGLD5,2025-09-25,0.5193257355652902,0.7025132001475178,0.7392398256093111,0.1831874645822277,130012MPDF0000,ARGUS,K013201,KR6BNAGI,LATA 1/3 SR.,NO,"BEER ARGUS SUAVE 4,8º 33CL L P12 MP",20.43,17.695555555555554,0.16722222222222222,2.567222222222222,64.33,6350.88,1924508.0,1,Tapa/Tapón,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1225.8,1061.7333333333333,10.033333333333333,154.03333333333333
0000662052-1,14.0,3BNAULD1,2025-09-22,0.4119990824231088,0.5838753507084752,0.7056284906070937,0.17187626828536642,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",32.2775,32.275555555555556,0.0,0.0019444444444444444,78.71166666666667,6420.85,1945713.0,1,Contenido,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1936.65,1936.5333333333333,0.0,0.11666666666666667
0000670229-1,14.0,3BNAULD1,2025-10-02,0.5265622994995509,0.6986255471434478,0.7537117725691078,0.17206324764389694,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",11.174444444444445,10.408333333333333,0.75,0.01611111111111111,38.98111111111111,4062.5,1231062.0,0,Contenido,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,670.4666666666667,624.5,45.0,0.9666666666666667
0000670230-1,14.0,3BNAULD1,2025-10-03,0.538675090943902,0.7127895845299637,0.755728061457466,0.17411449358606165,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",3.9355555555555557,3.9355555555555557,0.0,0.0,14.508333333333333,1547.45,468924.0,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.13333333333335,236.13333333333335,0.0,0.0
0000685395-1,14.0,3BNAULD1,2025-11-01,0.45656003239522164,0.678416683539178,0.6729787805533172,0.22185665114395628,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",8.810555555555556,8.438611111111111,0.0,0.37194444444444447,27.810833333333335,2480.49,751665.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,528.6333333333333,506.31666666666666,0.0,22.316666666666666
0000688738-1,19.0,3BNAULD1,2025-10-30,0.4873892174663383,0.8473403203480324,0.5751988967858279,0.35995110288169413,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",2.3588888888888886,1.9169444444444443,0.0,0.0,15.451944444444445,2236.8,677819.0,1,Contenido,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,141.5333333333333,115.01666666666667,0.0,0.0
0000689253-1,14.0,3BNAULD1,2025-11-07,0.4082949174088063,0.6064115021296181,0.6732967893500391,0.1981165847208118,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",14.671111111111111,14.66611111111111,0.0,0.005,38.026944444444446,3073.81,931458.0,1,Contenido,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,880.2666666666667,879.9666666666666,0.0,0.3
0000694990-1,14.0,3BNAULD1,2025-11-15,0.5036776863197219,0.7627869980606126,0.6603123645268252,0.2591093117408907,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",7.169722222222222,7.168055555555555,0.0,0.0016666666666666668,31.0825,3099.69,939299.0,1,Tapa/Tapón,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,430.18333333333334,430.0833333333333,0.0,0.1
PRT9900016702-M,14.0,3BNAULD1,2025-11-16,0.6923076923076923,1.0,0.6923076923076923,0.3076923076923077,130012MPDF0000,AURUM,K013201,KR6BNAU7,LATA 1/3 SR.,NO,"BEER AURUM 4,8º 33CL L P12 MP",0.0,0.0,0.0,0.0,0.003611111111111111,0.5,151.0,0,Contenido,1.0,,,,1.0,,,,0.0,0.0,0.0,0.0
0000660717-1,14.0,3BNCDLD2,2025-09-18,0.5482940086235871,0.759759154158624,0.7216681834268669,0.21146514553503692,130012MPDF0000,COVIRAN,K013301,KR6BNCDB,LATA 1/3 SR.,NO,"BEER COVIRAN 4,5º 33CL P12 MP",13.798055555555557,13.73611111111111,0.05638888888888889,0.005555555555555556,57.85722222222222,6280.51,1903186.0,1,Contenido,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,827.8833333333334,824.1666666666666,3.3833333333333333,0.33333333333333337
0000672217-1,14.0,3BNCDLD2,2025-10-20,0.5511472414900584,0.7736132371772145,0.71243253735045,0.22246599568715614,130012MPDF0000,COVIRAN,K013301,KR6BNCDB,LATA 1/3 SR.,NO,"BEER COVIRAN 4,5º 33CL P12 MP",15.715,14.356388888888889,0.3475,1.011111111111111,67.60805555555555,7267.54,2202284.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,942.9,861.3833333333333,20.849999999999998,60.666666666666664
0000683827-1,14.0,3BNCDLD2,2025-10-21,0.5446971471639693,0.8074513917888025,0.674588158127097,0.2627542446248332,130012MPDF0000,COVIRAN,K013301,KR6BNCDB,LATA 1/3 SR.,NO,"BEER COVIRAN 4,5º 33CL P12 MP",4.731666666666667,4.729444444444445,0.0,0.0022222222222222222,27.275277777777777,2941.44,891344.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.90000000000003,283.7666666666667,0.0,0.13333333333333333
PRT9900016494-M,14.0,3BNCDLD2,2025-09-19,0.5154006990388216,0.6925321433029584,0.7442263929883063,0.17713144426413682,130012MPDF0000,COVIRAN,K013301,KR6BNCDB,LATA 1/3 SR.,NO,"BEER COVIRAN 4,5º 33CL P12 MP",5.3533333333333335,5.351388888888889,0.0,0.0019444444444444444,17.804166666666667,1816.75,550531.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.2,321.0833333333333,0.0,0.11666666666666667
